model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3,threshold,FailureIDs,detected_failure_ids,undetected_failure_ids,undetectable_failure_ids
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Rain,2,2,0,0,1,98,2,13,100,61,0.0018801596676451952,"[2945, 4364]","[2945, 4364]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Rain,2,2,0,0,2,98,2,13,100,61,0.0018801596676451952,"[2945, 4364]","[2945, 4364]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Rain,2,2,0,0,3,98,2,13,100,61,0.0018801596676451952,"[2945, 4364]","[2945, 4364]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Fog,4,4,0,0,1,98,2,24,100,75,0.0018801596676451952,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Fog,4,4,0,0,2,98,2,24,100,75,0.0018801596676451952,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Fog,4,4,0,0,3,98,2,24,100,75,0.0018801596676451952,"[436, 2713, 3884, 6214]","[436, 2713, 3884, 6214]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Snow,3,3,0,0,1,98,2,19,100,70,0.0018801596676451952,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Snow,3,3,0,0,2,98,2,19,100,70,0.0018801596676451952,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-Snow,3,3,0,0,3,98,2,19,100,70,0.0018801596676451952,"[2664, 6197, 6448]","[2664, 6197, 6448]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNight,2,2,0,0,1,98,2,13,100,61,0.0018801596676451952,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,13,100,61,0.0018801596676451952,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNight,2,2,0,0,3,98,2,13,100,61,0.0018801596676451952,"[3607, 4676]","[3607, 4676]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,13,100,61,0.0018801596676451952,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,13,100,61,0.0018801596676451952,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,13,100,61,0.0018801596676451952,"[2343, 2580]","[2343, 2580]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightFog,5,4,1,0,1,98,2,24,80,65,0.0018801596676451952,"[2951, 3251, 3434, 5290, 5482]","[3251, 3434, 5290, 5482]",[2951],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,28,100,79,0.0018801596676451952,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,28,100,79,0.0018801596676451952,"[2951, 3251, 3434, 5290, 5482]","[2951, 3251, 3434, 5290, 5482]",[],[]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,98,2,24,100,75,0.0018801596676451952,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[1]
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,98,2,19,100,70,0.0018801596676451952,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577]",[],"[1, 3603]"
dave2-p10-track1-mcd_10_S2_test9,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,98,2,24,100,75,0.0018801596676451952,"[1, 1618, 2250, 3577, 3603]","[1618, 2250, 3577, 3603]",[],[1]
